nst,magError,magNst,longitude,gap,time,type,updated,id,place,latitude,mag,magSource,net,magType,horizontalError,status,depthError,locationSource,dmin,rms,depth
,0.064,64,-98.7339,56,2016-02-17T01:19:05.730Z,earthquake,2016-02-17T03:32:54.847Z,us200050qh,"32km NW of Fairview, Oklahoma",36.4829,3,us,us,mb_lg,2.7,reviewed,4.2,us,0.026,0.83,9.35
33,0.207,12,-124.9503333,262,2016-02-17T00:58:18.260Z,earthquake,2016-02-17T09:00:51.666Z,nc72592755,"61km WSW of Ferndale, California",40.3863333,2.77,nc,nc,ml,0.93,reviewed,1.28,nc,0.4762,0.16,17.14
,0.303,3,-69.2902,93,2016-02-17T00:29:35.470Z,earthquake,2016-02-17T08:32:05.031Z,us200050pr,"16km SE of Calingasta, Argentina",-31.4449,4.2,us,us,mb,5,reviewed,6.1,us,0.527,1.12,113.78
,,,-152.8897,,2016-02-16T23:55:49.000Z,earthquake,2016-02-17T04:05:42.149Z,ak12842050,"59km W of Anchor Point, Alaska",59.8298,3.5,ak,ak,ml,0.3,reviewed,0.3,ak,,0.57,102.7
,0.048,42,-125.1795,72,2016-02-16T23:48:35.010Z,earthquake,2016-02-17T16:02:50.000Z,us200050pj,Southern East Pacific Rise,-55.8203,6,us,us,mwb,13.7,reviewed,1.8,us,30.876,1.27,10
54,,6,-118.3998333,71,2016-02-16T23:27:31.020Z,earthquake,2016-02-17T23:11:17.942Z,nc72592705,"10km WNW of Big Pine, California",37.2023333,4.31,nc,nc,mw,0.23,reviewed,0.59,nc,0.1195,0.06,15.08
,0.092,36,93.4149,96,2016-02-16T23:06:56.990Z,earthquake,2016-02-17T02:24:16.094Z,us200050p4,"34km SSW of Bokakhat, India",26.3655,4.7,us,us,mb,7,reviewed,1.9,us,1.613,0.63,10
,0.09,32,-98.7609,131,2016-02-16T23:04:38.510Z,earthquake,2016-02-17T00:22:38.574Z,us200050nu,"35km SSW of Alva, Oklahoma",36.4914,2.9,us,us,mb_lg,3.1,reviewed,4.3,us,0.021,0.59,11.33
52,,6,-118.4035,104.4,2016-02-16T23:04:26.900Z,earthquake,2016-02-18T06:12:42.163Z,nc72592670,"10km WNW of Big Pine, California",37.2023,4.8,nc,nc,Mw,0.3,reviewed,0.6,nc,0.1176793,0.07,15.1
,0.128,16,-97.5291,69,2016-02-16T22:32:25.780Z,earthquake,2016-02-17T00:20:45.055Z,us200050ni,"19km ESE of Medford, Oklahoma",36.7393,2.6,us,us,mb_lg,1,reviewed,7.2,us,0.253,0.33,4.73
,0.113,23,-72.9166,134,2016-02-16T22:23:50.880Z,earthquake,2016-02-17T11:55:32.994Z,us200050nh,"74km SW of Orcopampa, Peru",-15.6514,4.5,us,us,mb,9.2,reviewed,9.1,us,3.657,1.23,87.28
